participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp170	1.0	0.0	1932.29999999702	13
sub-pp170	1.0	0.0	1523.7999999970198	42
sub-pp170	1.0	0.0	1461.4000000059605	64
sub-pp170	1.0	0.0	1633.6000000089407	75
sub-pp170	1.0	0.0	9409.40000000596	926
sub-pp170	1.0	0.0	2317.79999999702	574
sub-pp170	1.0	0.0	5651.0	9728
sub-pp170	1.0	0.0	6581.0	8694
sub-pp170	1.0	0.0	7277.29999999702	34856
sub-pp170	0.0	1.0	18945.69999998808	68351
sub-pp170	0.0	1.0	13439.40000000596	81537
sub-pp170	0.0	1.0	15357.40000000596	618427
