participant_id	rtt-sum_corr	rtt-sum_incorr	rtt-sum_RT
sub-pp128	1.0	0.0	2150.29999999702
sub-pp128	1.0	0.0	2371.400000002235
sub-pp128	1.0	0.0	2118.0
sub-pp128	1.0	0.0	2360.20000000298
sub-pp128	1.0	0.0	2399.400000002235
sub-pp128	1.0	0.0	2103.300000000745
sub-pp128	1.0	0.0	1790.9000000022352
sub-pp128	1.0	0.0	2642.099999997765
sub-pp128	1.0	0.0	7353.79999999702
sub-pp128	0.0	1.0	8650.900000002235
sub-pp128	1.0	0.0	1644.10000000149
sub-pp128	1.0	0.0	1714.0999999977648
sub-pp128	1.0	0.0	2521.0
sub-pp128	1.0	0.0	1921.699999999255
sub-pp128	1.0	0.0	2244.5
sub-pp128	1.0	0.0	3949.199999999255
sub-pp128	1.0	0.0	3827.0
sub-pp128	1.0	0.0	2702.60000000149
sub-pp128	1.0	0.0	2981.10000000149
sub-pp128	1.0	0.0	3838.29999999702
sub-pp128	1.0	0.0	5050.0
sub-pp128	1.0	0.0	4043.099999997765
sub-pp128	1.0	0.0	3429.599999997765
sub-pp128	1.0	0.0	4029.599999997765
sub-pp128	1.0	0.0	2807.400000002235
sub-pp128	1.0	0.0	4011.39999999851
sub-pp128	1.0	0.0	4966.699999999255
sub-pp128	1.0	0.0	2704.0
