participant_id	brocanto_corr	brocanto_incorr	brocanto_RT	brocanto_block
sub-pp152	0.0	1.0	4237.899999856949	1.0
sub-pp152	0.0	1.0	3093.300000190735	1.0
sub-pp152	1.0	0.0	3000.700000047684	1.0
sub-pp152	0.0	1.0	3620.0	1.0
sub-pp152	1.0	0.0	3847.599999904633	1.0
sub-pp152	0.0	1.0	3657.5	1.0
sub-pp152	1.0	0.0	2796.5	1.0
sub-pp152	1.0	0.0	2444.7999999523163	1.0
sub-pp152	0.0	1.0	2347.399999856949	1.0
sub-pp152	0.0	1.0	3230.899999856949	1.0
sub-pp152	0.0	1.0	4143.599999904633	1.0
sub-pp152	1.0	0.0	3169.700000047684	1.0
sub-pp152	0.0	1.0	1761.0999999046326	1.0
sub-pp152	1.0	0.0	4742.299999952316	1.0
sub-pp152	0.0	1.0	2940.399999856949	1.0
sub-pp152	0.0	1.0	3809.299999952316	1.0
sub-pp152	0.0	1.0	3687.0	1.0
sub-pp152	1.0	0.0	3923.200000047684	1.0
sub-pp152	1.0	0.0	2295.599999904633	1.0
sub-pp152	0.0	1.0	2933.7999999523163	1.0
sub-pp152	1.0	0.0	3840.5	1.0
sub-pp152	0.0	1.0	2900.899999856949	1.0
sub-pp152	1.0	0.0	4462.699999809265	1.0
sub-pp152	0.0	1.0	3469.100000143051	1.0
sub-pp152	0.0	1.0	1349.2000000476835	1.0
sub-pp152	0.0	1.0	4042.200000047684	1.0
sub-pp152	1.0	0.0	2536.300000190735	1.0
sub-pp152	1.0	0.0	3152.5	1.0
sub-pp152	0.0	1.0	2226.899999856949	1.0
sub-pp152	0.0	1.0	1209.2000000476835	1.0
sub-pp152	1.0	0.0	2668.4000000953674	1.0
sub-pp152	0.0	1.0	3378.700000047684	1.0
sub-pp152	1.0	0.0	3512.5	1.0
sub-pp152	1.0	0.0	2901.7999999523163	1.0
sub-pp152	1.0	0.0	3879.0	1.0
sub-pp152	0.0	1.0	2748.0	1.0
sub-pp152	0.0	1.0	2683.700000047684	1.0
sub-pp152	1.0	0.0	2504.700000047684	1.0
sub-pp152	0.0	1.0	2414.7999999523163	1.0
sub-pp152	0.0	1.0	2844.099999904633	2.0
sub-pp152	1.0	0.0	1964.1000001430511	2.0
sub-pp152	1.0	0.0	3028.9000000953674	2.0
sub-pp152	1.0	0.0	1979.400000095368	2.0
sub-pp152	1.0	0.0	1944.200000047684	2.0
sub-pp152	0.0	1.0	3767.100000143051	2.0
sub-pp152	1.0	0.0	2324.700000047684	2.0
sub-pp152	1.0	0.0	2165.0	2.0
sub-pp152	1.0	0.0	3444.700000047684	2.0
sub-pp152	1.0	0.0	3927.5	2.0
sub-pp152	0.0	1.0	2223.0	2.0
sub-pp152	1.0	0.0	1691.0999999046326	2.0
sub-pp152	1.0	0.0	3686.599999904633	2.0
sub-pp152	1.0	0.0	3377.200000047684	2.0
sub-pp152	0.0	1.0	3133.600000143051	2.0
sub-pp152	1.0	0.0	2526.399999856949	2.0
sub-pp152	1.0	0.0	2253.200000047684	2.0
sub-pp152	1.0	0.0	2866.099999904633	2.0
sub-pp152	1.0	0.0	2574.200000047684	2.0
sub-pp152	1.0	0.0	3319.0	2.0
sub-pp152	1.0	0.0	2383.600000143051	2.0
sub-pp152	1.0	0.0	2490.0	2.0
sub-pp152	1.0	0.0	2562.9000000953674	2.0
sub-pp152	1.0	0.0	1753.4000000953674	2.0
sub-pp152	0.0	1.0	3450.200000047684	2.0
sub-pp152	0.0	1.0	3757.5	2.0
sub-pp152	1.0	0.0	3373.200000047684	2.0
sub-pp152	1.0	0.0	2058.2999999523163	2.0
sub-pp152	1.0	0.0	3334.7999999523163	2.0
sub-pp152	0.0	1.0	4091.399999856949	2.0
sub-pp152	0.0	1.0	4010.900000095368	2.0
sub-pp152	0.0	1.0	2884.899999856949	2.0
sub-pp152	1.0	0.0	1936.200000047684	2.0
sub-pp152	1.0	0.0	3072.9000000953674	2.0
sub-pp152	1.0	0.0	2011.900000095368	2.0
sub-pp152	0.0	1.0	2967.199999809265	2.0
sub-pp152	1.0	0.0	3731.799999952316	2.0
sub-pp152	0.0	1.0	2058.700000047684	2.0
sub-pp152	0.0	1.0	3239.5	2.0
sub-pp152	1.0	0.0	4066.400000095368	2.0
sub-pp152	1.0	0.0	3469.5	3.0
sub-pp152	1.0	0.0	3075.700000047684	3.0
sub-pp152	1.0	0.0	2523.099999904633	3.0
sub-pp152	1.0	0.0	2641.300000190735	3.0
sub-pp152	1.0	0.0	3243.100000143051	3.0
sub-pp152	1.0	0.0	2478.800000190735	3.0
sub-pp152	1.0	0.0	1560.4000000953674	3.0
sub-pp152	1.0	0.0	2209.7999999523163	3.0
sub-pp152	1.0	0.0	2793.899999856949	3.0
sub-pp152	0.0	1.0	2881.0	3.0
sub-pp152	1.0	0.0	2581.0	3.0
sub-pp152	0.0	1.0	2029.0	3.0
sub-pp152	1.0	0.0	2569.600000143051	3.0
sub-pp152	0.0	1.0	2039.900000095368	3.0
sub-pp152	1.0	0.0	3553.200000047684	3.0
sub-pp152	1.0	0.0	3012.099999904633	3.0
