participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp018	1.0	0.0	1912.29999999702	13
sub-pp018	1.0	0.0	1603.6000000089407	42
sub-pp018	1.0	0.0	2371.20000000298	64
sub-pp018	1.0	0.0	2129.20000000298	75
sub-pp018	1.0	0.0	4167.29999999702	926
sub-pp018	1.0	0.0	2892.5	574
sub-pp018	1.0	0.0	4614.0	9728
sub-pp018	1.0	0.0	2423.4000000059605	8694
sub-pp018	1.0	0.0	2130.0	34856
sub-pp018	1.0	0.0	2664.0	68451
sub-pp018	1.0	0.0	2586.4000000059605	814735
sub-pp018	0.0	1.0	4971.4000000059605	658247
sub-pp018	0.0	1.0	3149.89999999106	2639148
sub-pp018	0.0	1.0	3458.9000000059605	8269347
