amma_corr	participant_id	amma_response
0.0	sub-pp052	I
1.0	sub-pp052	I
0.0	sub-pp052	M
1.0	sub-pp052	R
0.0	sub-pp052	R
1.0	sub-pp052	I
1.0	sub-pp052	M
1.0	sub-pp052	R
1.0	sub-pp052	I
0.0	sub-pp052	M
0.0	sub-pp052	I
0.0	sub-pp052	I
1.0	sub-pp052	I
0.0	sub-pp052	I
0.0	sub-pp052	M
1.0	sub-pp052	M
1.0	sub-pp052	R
0.0	sub-pp052	R
0.0	sub-pp052	R
0.0	sub-pp052	M
0.0	sub-pp052	M
0.0	sub-pp052	Je ne sais pas
1.0	sub-pp052	M
0.0	sub-pp052	R
1.0	sub-pp052	M
0.0	sub-pp052	Je ne sais pas
1.0	sub-pp052	I
0.0	sub-pp052	M
1.0	sub-pp052	I
0.0	sub-pp052	I
