amma_corr	participant_id	amma_response
0.0	sub-pp163	I
0.0	sub-pp163	R
0.0	sub-pp163	M
1.0	sub-pp163	R
0.0	sub-pp163	I
1.0	sub-pp163	I
0.0	sub-pp163	R
0.0	sub-pp163	Je ne sais pas
1.0	sub-pp163	I
0.0	sub-pp163	M
0.0	sub-pp163	R
1.0	sub-pp163	M
1.0	sub-pp163	I
0.0	sub-pp163	Je ne sais pas
0.0	sub-pp163	I
1.0	sub-pp163	M
1.0	sub-pp163	R
1.0	sub-pp163	I
0.0	sub-pp163	R
1.0	sub-pp163	I
0.0	sub-pp163	I
0.0	sub-pp163	M
0.0	sub-pp163	I
1.0	sub-pp163	I
1.0	sub-pp163	M
1.0	sub-pp163	R
0.0	sub-pp163	R
0.0	sub-pp163	I
1.0	sub-pp163	I
0.0	sub-pp163	I
