amma_corr	participant_id	amma_response
1.0	sub-pp067	M
1.0	sub-pp067	I
1.0	sub-pp067	R
0.0	sub-pp067	I
0.0	sub-pp067	I
1.0	sub-pp067	I
1.0	sub-pp067	M
1.0	sub-pp067	R
1.0	sub-pp067	I
1.0	sub-pp067	R
1.0	sub-pp067	M
0.0	sub-pp067	Je ne sais pas
1.0	sub-pp067	I
0.0	sub-pp067	I
1.0	sub-pp067	R
1.0	sub-pp067	M
1.0	sub-pp067	R
0.0	sub-pp067	M
1.0	sub-pp067	M
1.0	sub-pp067	I
1.0	sub-pp067	R
1.0	sub-pp067	I
1.0	sub-pp067	M
1.0	sub-pp067	I
0.0	sub-pp067	R
0.0	sub-pp067	M
0.0	sub-pp067	Je ne sais pas
0.0	sub-pp067	Je ne sais pas
1.0	sub-pp067	I
1.0	sub-pp067	R
