amma_corr	participant_id	amma_response
0.0	sub-pp024	I
0.0	sub-pp024	M
1.0	sub-pp024	R
1.0	sub-pp024	R
0.0	sub-pp024	I
1.0	sub-pp024	I
1.0	sub-pp024	M
1.0	sub-pp024	R
1.0	sub-pp024	I
1.0	sub-pp024	R
1.0	sub-pp024	M
1.0	sub-pp024	M
1.0	sub-pp024	I
1.0	sub-pp024	M
0.0	sub-pp024	I
1.0	sub-pp024	M
1.0	sub-pp024	R
0.0	sub-pp024	M
1.0	sub-pp024	M
1.0	sub-pp024	I
1.0	sub-pp024	R
0.0	sub-pp024	R
0.0	sub-pp024	I
0.0	sub-pp024	M
0.0	sub-pp024	R
0.0	sub-pp024	M
1.0	sub-pp024	I
0.0	sub-pp024	I
1.0	sub-pp024	I
0.0	sub-pp024	M
