amma_corr	participant_id	amma_response
0.0	sub-pp161	I
0.0	sub-pp161	M
0.0	sub-pp161	M
0.0	sub-pp161	I
0.0	sub-pp161	I
1.0	sub-pp161	I
0.0	sub-pp161	R
1.0	sub-pp161	R
0.0	sub-pp161	M
0.0	sub-pp161	M
0.0	sub-pp161	Je ne sais pas
1.0	sub-pp161	M
0.0	sub-pp161	M
1.0	sub-pp161	M
0.0	sub-pp161	Je ne sais pas
0.0	sub-pp161	R
1.0	sub-pp161	R
0.0	sub-pp161	M
1.0	sub-pp161	M
1.0	sub-pp161	I
0.0	sub-pp161	I
0.0	sub-pp161	Je ne sais pas
0.0	sub-pp161	I
0.0	sub-pp161	M
0.0	sub-pp161	R
0.0	sub-pp161	M
0.0	sub-pp161	R
0.0	sub-pp161	Je ne sais pas
0.0	sub-pp161	Je ne sais pas
0.0	sub-pp161	Je ne sais pas
