participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp083	1.0	0.0	1175.8999999910593	13
sub-pp083	1.0	0.0	730.5	42
sub-pp083	1.0	0.0	998.8000000119208	64
sub-pp083	1.0	0.0	1987.5	75
sub-pp083	1.0	0.0	5028.5	926
sub-pp083	1.0	0.0	6810.79999999702	574
sub-pp083	1.0	0.0	17564.90000000596	9728
sub-pp083	1.0	0.0	5742.09999999404	8694
sub-pp083	0.0	1.0	11793.20000000298	34896
sub-pp083	1.0	0.0	8535.09999999404	68451
sub-pp083	0.0	1.0	11677.40000000596	914795
sub-pp083	1.0	0.0	9937.20000000298	658427
sub-pp083	1.0	0.0	9092.20000000298	2639418
sub-pp083	0.0	1.0	11511.20000000298	8266794
sub-pp083	0.0	1.0	24931.09999999404	81627694
sub-pp083	0.0	1.0	16471.79999999702	3465827
