participant_id	rtt-sub_corr	rtt-sub_incorr	rtt-sub_RT
sub-pp068	1.0	0.0	2615.3000000715256
sub-pp068	1.0	0.0	4209.399999976158
sub-pp068	1.0	0.0	1634.600000023842
sub-pp068	1.0	0.0	2548.200000047684
sub-pp068	1.0	0.0	2015.6999999284744
sub-pp068	1.0	0.0	2168.4000000953674
sub-pp068	1.0	0.0	2031.1000000238416
sub-pp068	1.0	0.0	2836.600000023842
sub-pp068	1.0	0.0	2363.100000023842
sub-pp068	1.0	0.0	2608.899999976158
sub-pp068	1.0	0.0	2110.200000047684
sub-pp068	1.0	0.0	1829.399999976158
sub-pp068	1.0	0.0	1958.7999999523165
sub-pp068	1.0	0.0	2730.899999976158
sub-pp068	1.0	0.0	2139.0
sub-pp068	1.0	0.0	2900.3000000715256
sub-pp068	1.0	0.0	3694.100000023842
sub-pp068	1.0	0.0	2302.200000047684
sub-pp068	0.0	1.0	3209.399999976158
sub-pp068	1.0	0.0	3199.399999976158
sub-pp068	1.0	0.0	2494.100000023842
sub-pp068	1.0	0.0	2548.2999999523163
sub-pp068	1.0	0.0	3055.1999999284744
