participant_id	rtt-sum_corr	rtt-sum_incorr	rtt-sum_RT
sub-pp036	1.0	0.0	1786.0
sub-pp036	1.0	0.0	1455.0
sub-pp036	1.0	0.0	1198.0
sub-pp036	1.0	0.0	2025.0
sub-pp036	1.0	0.0	2135.0
sub-pp036	1.0	0.0	1328.0
sub-pp036	1.0	0.0	1720.0
sub-pp036	1.0	0.0	2855.0
sub-pp036	1.0	0.0	6170.0
sub-pp036	1.0	0.0	8312.0
sub-pp036	1.0	0.0	1233.0
sub-pp036	1.0	0.0	1273.0
sub-pp036	1.0	0.0	1483.0
sub-pp036	1.0	0.0	1469.0
sub-pp036	1.0	0.0	1255.0
sub-pp036	1.0	0.0	2709.0
sub-pp036	1.0	0.0	2740.0
sub-pp036	1.0	0.0	1607.0
sub-pp036	1.0	0.0	2294.0
sub-pp036	1.0	0.0	2282.0
sub-pp036	0.0	1.0	2178.0
sub-pp036	1.0	0.0	2820.0
sub-pp036	1.0	0.0	1940.0
sub-pp036	1.0	0.0	5750.0
sub-pp036	1.0	0.0	2328.0
sub-pp036	1.0	0.0	4232.0
sub-pp036	1.0	0.0	3258.0
sub-pp036	1.0	0.0	4690.0
sub-pp036	1.0	0.0	3681.0
sub-pp036	1.0	0.0	4805.0
sub-pp036	1.0	0.0	5749.979999999981
